,name,number_of_employees,sector,headquarters,company_website,linkedin,facebook,twitter,instagram
188,DARWINEX,53,Tecnologías de la Info. y de la Comunicación (TIC),Madrid,http://www.darwinex.com,https://www.linkedin.com/company/tradeslide-ventures/?viewAsMember=true,https://www.facebook.com/Darwinexchange/,https://twitter.com/Darwinexchange?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,
189,BANDAI NAMCO,26,Videojuegos,Madrid,https://es.bandainamcoent.eu/,https://www.linkedin.com/company/bneu,https://www.facebook.com/bandainamcoES,https://twitter.com/BandaiNamcoES,https://www.instagram.com/bandainamcoentspain/
190,Casavo,33,"Banca, Finanzas y Seguros",Madrid,https://casavo.com/es/,,https://www.facebook.com/CasavoSpain,,https://www.instagram.com/casavo.esp/
191,Naeco,40,"Industrial, Químico, Plástico","Asturias, Valencia",https://naeco.com/es/info/naeco/,https://www.linkedin.com/company/2902222/admin/,,https://twitter.com/Naeco_WithYou,
192,Verisk,200,Servicios Profesionales,Málaga y Madrid,https://www.verisk.com/,https://www.linkedin.com/company/verisk-analytics/,https://www.facebook.com/VeriskAnalytics,https://twitter.com/verisk,
193,Liberty Seguros,913,"Banca, Finanzas y Seguros",Madrid,https://www.libertyseguros.es/ ,https://www.linkedin.com/company/grupo-liberty-seguros-espa-a/,https://www.facebook.com/libertyseguros.es/,https://twitter.com/GrupoLiberty_es,https://www.instagram.com/libertyseguros_es/
194,Esprinet Group,765,Tecnologías de la Info. y de la Comunicación (TIC),Zaragoza,https://www.esprinet.com/es/,https://www.linkedin.com/company/esprinet-iberica/,https://www.facebook.com/Esprinet.HR.Spain,https://twitter.com/esprinet_es?lang=es,https://www.instagram.com/esprinet.hr.spain/
195,AEDAS Homes,264,Promoción inmobiliaria,"Madrid, Barcelona, Alicante, Valencia, Mallorca, Sevilla, Granada, Málaga y la Costa del Sol, Zaragoza, Valladolid, Pamplona y Vigo",https://www.aedashomes.com/,https://www.linkedin.com/company/aedas-homes/?originalSubdomain=es,https://www.facebook.com/aedashomes/,,https://www.instagram.com/aedashomes/
196,Qualita Solutions & Consulting,61,Servicios y Tecnologías de la Información,"Sant Cugat del Vallès, Barcelona",https://qualita.es/,https://www.linkedin.com/company/qualita-solutions-&-consulting/mycompany/?viewAsMember=true,,https://twitter.com/QualitaSpain ,https://www.instagram.com/qualitaspain/ 
197,Nordic Pharma,26,Biotecnología y Farmacéutica,Madrid,https://www.nordicpharma.es/,https://www.linkedin.com/company/nordic-pharma-espa%C3%B1a/,,,
198,Adevinta Spain,1.143 ,Marketplaces digitales,,https://www.adevinta.es, https://www.linkedin.com/company/adevintaspain ,,https://twitter.com/AdevintaSpain,https://www.instagram.com/adevintaspain/
199,MioGroup,250,"Consultoría, Marketing y Publicidad",Madrid,https://mio.es/,https://www.linkedin.com/company/miogroup/?originalSubdomain=es,https://www.facebook.com/SomosMIOGROUP/,https://twitter.com/SomosMiogroup,https://www.instagram.com/somosmiogroup/
200,Ingram Micro,427,Tecnologías de la Información,"Barcelona, Madrid y Tarragona",https://es-new.ingrammicro.com/Site/home,https://www.linkedin.com/company/ingram-micro_4?originalSubdomain=es,https://www.facebook.com/IngramMicroSpain/,https://twitter.com/ingrammicroes?lang=es,
201,Securitas Direct (part of Verisure),8700,Servicios Profesionales / Seguridad,"Pozuelo de Alarcón, Madrid",https://www.securitasdirect.es/,https://www.linkedin.com/company/securitas-direct-verisure-group/mycompany/,https://www.facebook.com/SecuritasDirect,https://twitter.com/securitasdirect?lang=es, https://www.instagram.com/securitasdirect/
202,Sensofar,57,"Siderurgia, Metalurgia, Construcción y Maquinaria",Barcelona,https://www.sensofar.com/,https://www.linkedin.com/company/sensofar/,,,
203,Entravision Communications,91,Marketing Digital,Barcelona,https://entravision.com/,https://www.linkedin.com/company/entravisioncommunications/,,,
204,DCSL GuideSmiths España,62,Tecnologías de la Información y de la Comunicación (TIC),Madrid,https://www.dcsl.com/, https://www.linkedin.com/company/dcslguidesmiths-es ,,https://twitter.com/guidesmiths,https://www.instagram.com/dcsl_guidesmiths_spain/
205,SC Johnson,23,"Productos de Gran Consumo en Cuidado del Hogar (Ambientadores, Insecticidas, Limpiadores y Cuidado del Calzado).",Madrid,https://www.scjohnson.com/,https://www.linkedin.com/company/scjohnson/,https://www.facebook.com/SCJohnson/,https://twitter.com/SCJohnson?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,
206,"Grenergy Renovables, S.A.",192,Energías Renovables,Madrid,https://grenergy.eu/,https://www.linkedin.com/company/grenergyrenovables/,,https://twitter.com/Grenergy_eu?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,
